0/12030, t=0.200036s
1/12030, t=0.203369s
2/12030, t=0.206703s
3/12030, t=0.210036s
4/12030, t=0.213369s
5/12030, t=0.216703s
6/12030, t=0.220036s
7/12030, t=0.223369s
8/12030, t=0.226703s
9/12030, t=0.230036s
10/12030, t=0.233369s
11/12030, t=0.236703s
12/12030, t=0.240036s
13/12030, t=0.243369s
14/12030, t=0.246703s
15/12030, t=0.250036s
16/12030, t=0.250069s
17/12030, t=0.250103s
18/12030, t=0.250136s
19/12030, t=0.250169s
20/12030, t=0.250203s
21/12030, t=0.250236s
22/12030, t=0.250269s
23/12030, t=0.250303s
24/12030, t=0.250336s
25/12030, t=0.250369s
26/12030, t=0.250403s
27/12030, t=0.250436s
28/12030, t=0.250469s
29/12030, t=0.250503s
30/12030, t=0.250536s
31/12030, t=0.250569s
32/12030, t=0.250603s
33/12030, t=0.250636s
34/12030, t=0.250669s
35/12030, t=0.250703s
36/12030, t=0.250736s
37/12030, t=0.250769s
38/12030, t=0.250803s
39/12030, t=0.250836s
40/12030, t=0.250869s
41/12030, t=0.250903s
42/12030, t=0.250936s
43/12030, t=0.250969s
44/12030, t=0.251003s
45/12030, t=0.251036s
46/12030, t=0.251069s
47/12030, t=0.251103s
48/12030, t=0.251136s
49/12030, t=0.251169s
50/12030, t=0.251203s
51/12030, t=0.251236s
52/12030, t=0.251269s
53/12030, t=0.251303s
54/12030, t=0.251336s
55/12030, t=0.251369s
56/12030, t=0.251403s
57/12030, t=0.251436s
58/12030, t=0.251469s
59/12030, t=0.251503s
60/12030, t=0.251536s
61/12030, t=0.251569s
62/12030, t=0.251603s
63/12030, t=0.251636s
64/12030, t=0.251669s
65/12030, t=0.251703s
66/12030, t=0.251736s
67/12030, t=0.251769s
68/12030, t=0.251803s
69/12030, t=0.251836s
70/12030, t=0.251869s
71/12030, t=0.251903s
72/12030, t=0.251936s
73/12030, t=0.251969s
74/12030, t=0.252003s
75/12030, t=0.252036s
76/12030, t=0.252069s
77/12030, t=0.252103s
78/12030, t=0.252136s
79/12030, t=0.252169s
80/12030, t=0.252203s
81/12030, t=0.252236s
82/12030, t=0.252269s
83/12030, t=0.252303s
84/12030, t=0.252336s
85/12030, t=0.252369s
86/12030, t=0.252403s
87/12030, t=0.252436s
88/12030, t=0.252469s
89/12030, t=0.252503s
90/12030, t=0.252536s
91/12030, t=0.252569s
92/12030, t=0.252603s
93/12030, t=0.252636s
94/12030, t=0.252669s
95/12030, t=0.252703s
96/12030, t=0.252736s
97/12030, t=0.252769s
98/12030, t=0.252803s
99/12030, t=0.252836s
100/12030, t=0.252869s
101/12030, t=0.252903s
102/12030, t=0.252936s
103/12030, t=0.252969s
104/12030, t=0.253003s
105/12030, t=0.253036s
106/12030, t=0.253069s
107/12030, t=0.253103s
108/12030, t=0.253136s
109/12030, t=0.253169s
110/12030, t=0.253203s
111/12030, t=0.253236s
112/12030, t=0.253269s
113/12030, t=0.253303s
114/12030, t=0.253336s
115/12030, t=0.253369s
116/12030, t=0.253403s
117/12030, t=0.253436s
118/12030, t=0.253469s
119/12030, t=0.253503s
120/12030, t=0.253536s
121/12030, t=0.253569s
122/12030, t=0.253603s
123/12030, t=0.253636s
124/12030, t=0.253669s
125/12030, t=0.253703s
126/12030, t=0.253736s
127/12030, t=0.253769s
128/12030, t=0.253803s
129/12030, t=0.253836s
130/12030, t=0.253869s
131/12030, t=0.253903s
132/12030, t=0.253936s
133/12030, t=0.253969s
134/12030, t=0.254003s
135/12030, t=0.254036s
136/12030, t=0.254069s
137/12030, t=0.254103s
138/12030, t=0.254136s
139/12030, t=0.254169s
140/12030, t=0.254203s
141/12030, t=0.254236s
142/12030, t=0.254269s
143/12030, t=0.254303s
144/12030, t=0.254336s
145/12030, t=0.254369s
146/12030, t=0.254403s
147/12030, t=0.254436s
148/12030, t=0.254469s
149/12030, t=0.254503s
150/12030, t=0.254536s
151/12030, t=0.254569s
152/12030, t=0.254603s
153/12030, t=0.254636s
154/12030, t=0.254669s
155/12030, t=0.254703s
156/12030, t=0.254736s
157/12030, t=0.254769s
158/12030, t=0.254803s
159/12030, t=0.254836s
160/12030, t=0.254869s
161/12030, t=0.254903s
162/12030, t=0.254936s
163/12030, t=0.254969s
164/12030, t=0.255003s
165/12030, t=0.255036s
166/12030, t=0.255069s
167/12030, t=0.255103s
168/12030, t=0.255136s
169/12030, t=0.255169s
170/12030, t=0.255203s
171/12030, t=0.255236s
172/12030, t=0.255269s
173/12030, t=0.255303s
174/12030, t=0.255336s
175/12030, t=0.255369s
176/12030, t=0.255403s
177/12030, t=0.255436s
178/12030, t=0.255469s
179/12030, t=0.255503s
180/12030, t=0.255536s
181/12030, t=0.255569s
182/12030, t=0.255603s
183/12030, t=0.255636s
184/12030, t=0.255669s
185/12030, t=0.255703s
186/12030, t=0.255736s
187/12030, t=0.255769s
188/12030, t=0.255803s
189/12030, t=0.255836s
190/12030, t=0.255869s
191/12030, t=0.255903s
192/12030, t=0.255936s
193/12030, t=0.255969s
194/12030, t=0.256003s
195/12030, t=0.256036s
196/12030, t=0.256069s
197/12030, t=0.256103s
198/12030, t=0.256136s
199/12030, t=0.256169s
200/12030, t=0.256203s
201/12030, t=0.256236s
202/12030, t=0.256269s
203/12030, t=0.256303s
204/12030, t=0.256336s
205/12030, t=0.256369s
206/12030, t=0.256403s
207/12030, t=0.256436s
208/12030, t=0.256469s
209/12030, t=0.256503s
210/12030, t=0.256536s
211/12030, t=0.256569s
212/12030, t=0.256603s
213/12030, t=0.256636s
214/12030, t=0.256669s
215/12030, t=0.256703s
216/12030, t=0.256736s
217/12030, t=0.256769s
218/12030, t=0.256803s
219/12030, t=0.256836s
220/12030, t=0.256869s
221/12030, t=0.256903s
222/12030, t=0.256936s
223/12030, t=0.256969s
224/12030, t=0.257003s
225/12030, t=0.257036s
226/12030, t=0.257069s
227/12030, t=0.257103s
228/12030, t=0.257136s
229/12030, t=0.257169s
230/12030, t=0.257203s
231/12030, t=0.257236s
232/12030, t=0.257269s
233/12030, t=0.257303s
234/12030, t=0.257336s
235/12030, t=0.257369s
236/12030, t=0.257403s
237/12030, t=0.257436s
238/12030, t=0.257469s
239/12030, t=0.257503s
240/12030, t=0.257536s
241/12030, t=0.257569s
242/12030, t=0.257603s
243/12030, t=0.257636s
244/12030, t=0.257669s
245/12030, t=0.257703s
246/12030, t=0.257736s
247/12030, t=0.257769s
248/12030, t=0.257803s
249/12030, t=0.257836s
250/12030, t=0.257869s
251/12030, t=0.257903s
252/12030, t=0.257936s
253/12030, t=0.257969s
254/12030, t=0.258003s
255/12030, t=0.258036s
256/12030, t=0.258069s
257/12030, t=0.258103s
258/12030, t=0.258136s
259/12030, t=0.258169s
260/12030, t=0.258203s
261/12030, t=0.258236s
262/12030, t=0.258269s
263/12030, t=0.258303s
264/12030, t=0.258336s
265/12030, t=0.258369s
266/12030, t=0.258403s
267/12030, t=0.258436s
268/12030, t=0.258469s
269/12030, t=0.258503s
270/12030, t=0.258536s
271/12030, t=0.258569s
272/12030, t=0.258603s
273/12030, t=0.258636s
274/12030, t=0.258669s
275/12030, t=0.258703s
276/12030, t=0.258736s
277/12030, t=0.258769s
278/12030, t=0.258803s
279/12030, t=0.258836s
280/12030, t=0.258869s
281/12030, t=0.258903s
282/12030, t=0.258936s
283/12030, t=0.258969s
284/12030, t=0.259003s
285/12030, t=0.259036s
286/12030, t=0.259069s
287/12030, t=0.259103s
288/12030, t=0.259136s
289/12030, t=0.259169s
290/12030, t=0.259203s
291/12030, t=0.259236s
292/12030, t=0.259269s
293/12030, t=0.259303s
294/12030, t=0.259336s
295/12030, t=0.259369s
296/12030, t=0.259403s
297/12030, t=0.259436s
298/12030, t=0.259469s
299/12030, t=0.259503s
300/12030, t=0.259536s
301/12030, t=0.259569s
302/12030, t=0.259603s
303/12030, t=0.259636s
304/12030, t=0.259669s
305/12030, t=0.259703s
306/12030, t=0.259736s
307/12030, t=0.259769s
308/12030, t=0.259803s
309/12030, t=0.259836s
310/12030, t=0.259869s
311/12030, t=0.259903s
312/12030, t=0.259936s
313/12030, t=0.259969s
314/12030, t=0.260003s
315/12030, t=0.260036s
316/12030, t=0.260069s
317/12030, t=0.260103s
318/12030, t=0.260136s
319/12030, t=0.260169s
320/12030, t=0.260203s
321/12030, t=0.260236s
322/12030, t=0.260269s
323/12030, t=0.260303s
324/12030, t=0.260336s
325/12030, t=0.260369s
326/12030, t=0.260403s
327/12030, t=0.260436s
328/12030, t=0.260469s
329/12030, t=0.260503s
330/12030, t=0.260536s
331/12030, t=0.260569s
332/12030, t=0.260603s
333/12030, t=0.260636s
334/12030, t=0.260669s
335/12030, t=0.260703s
336/12030, t=0.260736s
337/12030, t=0.260769s
338/12030, t=0.260803s
339/12030, t=0.260836s
340/12030, t=0.260869s
341/12030, t=0.260903s
342/12030, t=0.260936s
343/12030, t=0.260969s
344/12030, t=0.261003s
345/12030, t=0.261036s
346/12030, t=0.261069s
347/12030, t=0.261103s
348/12030, t=0.261136s
349/12030, t=0.261169s
350/12030, t=0.261203s
351/12030, t=0.261236s
352/12030, t=0.261269s
353/12030, t=0.261303s
354/12030, t=0.261336s
355/12030, t=0.261369s
356/12030, t=0.261403s
357/12030, t=0.261436s
358/12030, t=0.261469s
359/12030, t=0.261503s
360/12030, t=0.261536s
361/12030, t=0.261569s
362/12030, t=0.261603s
363/12030, t=0.261636s
364/12030, t=0.261669s
365/12030, t=0.261703s
366/12030, t=0.261736s
367/12030, t=0.261769s
368/12030, t=0.261803s
369/12030, t=0.261836s
370/12030, t=0.261869s
371/12030, t=0.261903s
372/12030, t=0.261936s
373/12030, t=0.261969s
374/12030, t=0.262003s
375/12030, t=0.262036s
376/12030, t=0.262069s
377/12030, t=0.262103s
378/12030, t=0.262136s
379/12030, t=0.262169s
380/12030, t=0.262203s
381/12030, t=0.262236s
382/12030, t=0.262269s
383/12030, t=0.262303s
384/12030, t=0.262336s
385/12030, t=0.262369s
386/12030, t=0.262403s
387/12030, t=0.262436s
388/12030, t=0.262469s
389/12030, t=0.262503s
390/12030, t=0.262536s
391/12030, t=0.262569s
392/12030, t=0.262603s
393/12030, t=0.262636s
394/12030, t=0.262669s
395/12030, t=0.262703s
396/12030, t=0.262736s
397/12030, t=0.262769s
398/12030, t=0.262803s
399/12030, t=0.262836s
400/12030, t=0.262869s
401/12030, t=0.262903s
402/12030, t=0.262936s
403/12030, t=0.262969s
404/12030, t=0.263003s
405/12030, t=0.263036s
406/12030, t=0.263069s
407/12030, t=0.263103s
408/12030, t=0.263136s
409/12030, t=0.263169s
410/12030, t=0.263203s
411/12030, t=0.263236s
412/12030, t=0.263269s
413/12030, t=0.263303s
414/12030, t=0.263336s
415/12030, t=0.263369s
416/12030, t=0.263403s
417/12030, t=0.263436s
418/12030, t=0.263469s
419/12030, t=0.263503s
420/12030, t=0.263536s
421/12030, t=0.263569s
422/12030, t=0.263603s
423/12030, t=0.263636s
424/12030, t=0.263669s
425/12030, t=0.263703s
426/12030, t=0.263736s
427/12030, t=0.263769s
428/12030, t=0.263803s
429/12030, t=0.263836s
430/12030, t=0.263869s
431/12030, t=0.263903s
432/12030, t=0.263936s
433/12030, t=0.263969s
434/12030, t=0.264003s
435/12030, t=0.264036s
436/12030, t=0.264069s
437/12030, t=0.264103s
438/12030, t=0.264136s
439/12030, t=0.264169s
440/12030, t=0.264203s
441/12030, t=0.264236s
442/12030, t=0.264269s
443/12030, t=0.264303s
444/12030, t=0.264336s
445/12030, t=0.264369s
446/12030, t=0.264403s
447/12030, t=0.264436s
448/12030, t=0.264469s
449/12030, t=0.264503s
450/12030, t=0.264536s
451/12030, t=0.264569s
452/12030, t=0.264603s
453/12030, t=0.264636s
454/12030, t=0.264669s
455/12030, t=0.264703s
456/12030, t=0.264736s
457/12030, t=0.264769s
458/12030, t=0.264803s
459/12030, t=0.264836s
460/12030, t=0.264869s
461/12030, t=0.264903s
462/12030, t=0.264936s
463/12030, t=0.264969s
464/12030, t=0.265003s
465/12030, t=0.265036s
466/12030, t=0.265069s
467/12030, t=0.265103s
468/12030, t=0.265136s
469/12030, t=0.265169s
470/12030, t=0.265203s
471/12030, t=0.265236s
472/12030, t=0.265269s
473/12030, t=0.265303s
474/12030, t=0.265336s
475/12030, t=0.265369s
476/12030, t=0.265403s
477/12030, t=0.265436s
478/12030, t=0.265469s
479/12030, t=0.265503s
480/12030, t=0.265536s
481/12030, t=0.265569s
482/12030, t=0.265603s
483/12030, t=0.265636s
484/12030, t=0.265669s
485/12030, t=0.265703s
486/12030, t=0.265736s
487/12030, t=0.265769s
488/12030, t=0.265803s
489/12030, t=0.265836s
490/12030, t=0.265869s
491/12030, t=0.265903s
492/12030, t=0.265936s
493/12030, t=0.265969s
494/12030, t=0.266003s
495/12030, t=0.266036s
496/12030, t=0.266069s
497/12030, t=0.266103s
498/12030, t=0.266136s
499/12030, t=0.266169s
500/12030, t=0.266203s
501/12030, t=0.266236s
502/12030, t=0.266269s
503/12030, t=0.266303s
504/12030, t=0.266336s
505/12030, t=0.266369s
506/12030, t=0.266403s
507/12030, t=0.266436s
508/12030, t=0.266469s
509/12030, t=0.266503s
510/12030, t=0.266536s
511/12030, t=0.266569s
512/12030, t=0.266603s
513/12030, t=0.266636s
514/12030, t=0.266669s
515/12030, t=0.266703s
516/12030, t=0.266736s
517/12030, t=0.266769s
518/12030, t=0.266803s
519/12030, t=0.266836s
520/12030, t=0.266869s
521/12030, t=0.266903s
522/12030, t=0.266936s
523/12030, t=0.266969s
524/12030, t=0.267003s
525/12030, t=0.267036s
526/12030, t=0.267069s
527/12030, t=0.267103s
528/12030, t=0.267136s
529/12030, t=0.267169s
530/12030, t=0.267203s
531/12030, t=0.267236s
532/12030, t=0.267269s
533/12030, t=0.267303s
534/12030, t=0.267336s
535/12030, t=0.267369s
536/12030, t=0.267403s
537/12030, t=0.267436s
538/12030, t=0.267469s
539/12030, t=0.267503s
540/12030, t=0.267536s
541/12030, t=0.267569s
542/12030, t=0.267603s
543/12030, t=0.267636s
544/12030, t=0.267669s
545/12030, t=0.267703s
546/12030, t=0.267736s
547/12030, t=0.267769s
548/12030, t=0.267803s
549/12030, t=0.267836s
550/12030, t=0.267869s
551/12030, t=0.267903s
552/12030, t=0.267936s
553/12030, t=0.267969s
554/12030, t=0.268003s
555/12030, t=0.268036s
556/12030, t=0.268069s
557/12030, t=0.268103s
558/12030, t=0.268136s
559/12030, t=0.268169s
560/12030, t=0.268203s
561/12030, t=0.268236s
562/12030, t=0.268269s
563/12030, t=0.268303s
564/12030, t=0.268336s
565/12030, t=0.268369s
566/12030, t=0.268403s
567/12030, t=0.268436s
568/12030, t=0.268469s
569/12030, t=0.268503s
570/12030, t=0.268536s
571/12030, t=0.268569s
572/12030, t=0.268603s
573/12030, t=0.268636s
574/12030, t=0.268669s
575/12030, t=0.268703s
576/12030, t=0.268736s
577/12030, t=0.268769s
578/12030, t=0.268803s
579/12030, t=0.268836s
580/12030, t=0.268869s
581/12030, t=0.268903s
582/12030, t=0.268936s
583/12030, t=0.268969s
584/12030, t=0.269003s
