0/6090, t=0.200036s
214/6090, t=0.355669s
215/6090, t=0.355703s
216/6090, t=0.355736s
217/6090, t=0.355769s
218/6090, t=0.355803s
219/6090, t=0.355836s
220/6090, t=0.355869s
221/6090, t=0.355903s
222/6090, t=0.355936s
223/6090, t=0.355969s
224/6090, t=0.356003s
225/6090, t=0.356036s
226/6090, t=0.356069s
227/6090, t=0.356103s
228/6090, t=0.356136s
229/6090, t=0.356169s
230/6090, t=0.356203s
231/6090, t=0.356236s
232/6090, t=0.356269s
233/6090, t=0.356303s
234/6090, t=0.356336s
235/6090, t=0.356369s
236/6090, t=0.356403s
237/6090, t=0.356436s
238/6090, t=0.356469s
239/6090, t=0.356503s
240/6090, t=0.356536s
241/6090, t=0.356569s
242/6090, t=0.356603s
243/6090, t=0.356636s
244/6090, t=0.356669s
245/6090, t=0.356703s
246/6090, t=0.356736s
247/6090, t=0.356769s
248/6090, t=0.356803s
249/6090, t=0.356836s
250/6090, t=0.356869s
251/6090, t=0.356903s
252/6090, t=0.356936s
253/6090, t=0.356969s
254/6090, t=0.357003s
255/6090, t=0.357036s
256/6090, t=0.357069s
257/6090, t=0.357103s
258/6090, t=0.357136s
259/6090, t=0.357169s
260/6090, t=0.357203s
261/6090, t=0.357236s
262/6090, t=0.357269s
263/6090, t=0.357303s
264/6090, t=0.357336s
265/6090, t=0.357369s
266/6090, t=0.357403s
267/6090, t=0.357436s
268/6090, t=0.357469s
269/6090, t=0.357503s
270/6090, t=0.357536s
271/6090, t=0.357569s
272/6090, t=0.357603s
273/6090, t=0.357636s
274/6090, t=0.357669s
275/6090, t=0.357703s
276/6090, t=0.357736s
277/6090, t=0.357769s
278/6090, t=0.357803s
279/6090, t=0.357836s
280/6090, t=0.357869s
281/6090, t=0.357903s
282/6090, t=0.357936s
283/6090, t=0.357969s
284/6090, t=0.358003s
285/6090, t=0.358036s
286/6090, t=0.358069s
287/6090, t=0.358103s
288/6090, t=0.358136s
289/6090, t=0.358169s
290/6090, t=0.358203s
291/6090, t=0.358236s
292/6090, t=0.358269s
293/6090, t=0.358303s
294/6090, t=0.358336s
295/6090, t=0.358369s
296/6090, t=0.358403s
297/6090, t=0.358436s
298/6090, t=0.358469s
299/6090, t=0.358503s
300/6090, t=0.358536s
301/6090, t=0.358569s
302/6090, t=0.358603s
303/6090, t=0.358636s
304/6090, t=0.358669s
305/6090, t=0.358703s
306/6090, t=0.358736s
307/6090, t=0.358769s
308/6090, t=0.358803s
309/6090, t=0.358836s
310/6090, t=0.358869s
311/6090, t=0.358903s
312/6090, t=0.358936s
313/6090, t=0.358969s
314/6090, t=0.359003s
315/6090, t=0.359036s
316/6090, t=0.359069s
317/6090, t=0.359103s
318/6090, t=0.359136s
319/6090, t=0.359169s
320/6090, t=0.359203s
321/6090, t=0.359236s
322/6090, t=0.359269s
323/6090, t=0.359303s
324/6090, t=0.359336s
325/6090, t=0.359369s
326/6090, t=0.359403s
327/6090, t=0.359436s
328/6090, t=0.359469s
329/6090, t=0.359503s
330/6090, t=0.359536s
331/6090, t=0.359569s
332/6090, t=0.359603s
333/6090, t=0.359636s
334/6090, t=0.359669s
335/6090, t=0.359703s
336/6090, t=0.359736s
337/6090, t=0.359769s
338/6090, t=0.359803s
339/6090, t=0.359836s
340/6090, t=0.359869s
341/6090, t=0.359903s
342/6090, t=0.359936s
343/6090, t=0.359969s
344/6090, t=0.360003s
345/6090, t=0.360036s
346/6090, t=0.360069s
347/6090, t=0.360103s
348/6090, t=0.360136s
349/6090, t=0.360169s
350/6090, t=0.360203s
351/6090, t=0.360236s
352/6090, t=0.360269s
353/6090, t=0.360303s
354/6090, t=0.360336s
355/6090, t=0.360369s
356/6090, t=0.360403s
357/6090, t=0.360436s
358/6090, t=0.360469s
359/6090, t=0.360503s
360/6090, t=0.360536s
361/6090, t=0.360569s
362/6090, t=0.360603s
363/6090, t=0.360636s
364/6090, t=0.360669s
365/6090, t=0.360703s
366/6090, t=0.360736s
367/6090, t=0.360769s
368/6090, t=0.360803s
369/6090, t=0.360836s
370/6090, t=0.360869s
371/6090, t=0.360903s
372/6090, t=0.360936s
373/6090, t=0.360969s
374/6090, t=0.361003s
375/6090, t=0.361036s
376/6090, t=0.361069s
377/6090, t=0.361103s
378/6090, t=0.361136s
379/6090, t=0.361169s
380/6090, t=0.361203s
381/6090, t=0.361236s
382/6090, t=0.361269s
383/6090, t=0.361303s
384/6090, t=0.361336s
385/6090, t=0.361369s
386/6090, t=0.361403s
387/6090, t=0.361436s
388/6090, t=0.361469s
389/6090, t=0.361503s
390/6090, t=0.361536s
391/6090, t=0.361569s
392/6090, t=0.361603s
393/6090, t=0.361636s
394/6090, t=0.361669s
395/6090, t=0.361703s
396/6090, t=0.361736s
397/6090, t=0.361769s
398/6090, t=0.361803s
399/6090, t=0.361836s
400/6090, t=0.361869s
401/6090, t=0.361903s
402/6090, t=0.361936s
403/6090, t=0.361969s
404/6090, t=0.362003s
405/6090, t=0.362036s
406/6090, t=0.362069s
407/6090, t=0.362103s
408/6090, t=0.362136s
409/6090, t=0.362169s
410/6090, t=0.362203s
411/6090, t=0.362236s
412/6090, t=0.362269s
413/6090, t=0.362303s
414/6090, t=0.362336s
415/6090, t=0.362369s
416/6090, t=0.362403s
417/6090, t=0.362436s
418/6090, t=0.362469s
419/6090, t=0.362503s
420/6090, t=0.362536s
421/6090, t=0.362569s
422/6090, t=0.362603s
423/6090, t=0.362636s
424/6090, t=0.362669s
425/6090, t=0.362703s
426/6090, t=0.362736s
427/6090, t=0.362769s
428/6090, t=0.362803s
429/6090, t=0.362836s
430/6090, t=0.362869s
431/6090, t=0.362903s
432/6090, t=0.362936s
433/6090, t=0.362969s
434/6090, t=0.363003s
435/6090, t=0.363036s
436/6090, t=0.363069s
437/6090, t=0.363103s
438/6090, t=0.363136s
439/6090, t=0.363169s
440/6090, t=0.363203s
441/6090, t=0.363236s
442/6090, t=0.363269s
443/6090, t=0.363303s
444/6090, t=0.363336s
445/6090, t=0.363369s
446/6090, t=0.363403s
447/6090, t=0.363436s
448/6090, t=0.363469s
449/6090, t=0.363503s
450/6090, t=0.363536s
451/6090, t=0.363569s
452/6090, t=0.363603s
453/6090, t=0.363636s
454/6090, t=0.363669s
455/6090, t=0.363703s
456/6090, t=0.363736s
457/6090, t=0.363769s
458/6090, t=0.363803s
459/6090, t=0.363836s
460/6090, t=0.363869s
461/6090, t=0.363903s
462/6090, t=0.363936s
463/6090, t=0.363969s
464/6090, t=0.364003s
465/6090, t=0.364036s
466/6090, t=0.364069s
467/6090, t=0.364103s
468/6090, t=0.364136s
469/6090, t=0.364169s
470/6090, t=0.364203s
471/6090, t=0.364236s
472/6090, t=0.364269s
473/6090, t=0.364303s
474/6090, t=0.364336s
475/6090, t=0.364369s
476/6090, t=0.364403s
477/6090, t=0.364436s
478/6090, t=0.364469s
479/6090, t=0.364503s
480/6090, t=0.364536s
481/6090, t=0.364569s
482/6090, t=0.364603s
483/6090, t=0.364636s
484/6090, t=0.364669s
485/6090, t=0.364703s
486/6090, t=0.364736s
487/6090, t=0.364769s
488/6090, t=0.364803s
489/6090, t=0.364836s
490/6090, t=0.364869s
491/6090, t=0.364903s
492/6090, t=0.364936s
493/6090, t=0.364969s
494/6090, t=0.365003s
495/6090, t=0.365036s
496/6090, t=0.365069s
497/6090, t=0.365103s
498/6090, t=0.365136s
499/6090, t=0.365169s
500/6090, t=0.365203s
501/6090, t=0.365236s
502/6090, t=0.365269s
503/6090, t=0.365303s
504/6090, t=0.365336s
505/6090, t=0.365369s
506/6090, t=0.365403s
507/6090, t=0.365436s
508/6090, t=0.365469s
509/6090, t=0.365503s
510/6090, t=0.365536s
511/6090, t=0.365569s
512/6090, t=0.365603s
513/6090, t=0.365636s
514/6090, t=0.365669s
515/6090, t=0.365703s
516/6090, t=0.365736s
517/6090, t=0.365769s
518/6090, t=0.365803s
519/6090, t=0.365836s
520/6090, t=0.365869s
521/6090, t=0.365903s
522/6090, t=0.365936s
523/6090, t=0.365969s
524/6090, t=0.366003s
525/6090, t=0.366036s
526/6090, t=0.366069s
527/6090, t=0.366103s
528/6090, t=0.366136s
529/6090, t=0.366169s
530/6090, t=0.366203s
531/6090, t=0.366236s
532/6090, t=0.366269s
533/6090, t=0.366303s
534/6090, t=0.366336s
535/6090, t=0.366369s
536/6090, t=0.366403s
537/6090, t=0.366436s
538/6090, t=0.366469s
539/6090, t=0.366503s
540/6090, t=0.366536s
541/6090, t=0.366569s
542/6090, t=0.366603s
543/6090, t=0.366636s
544/6090, t=0.366669s
545/6090, t=0.366703s
546/6090, t=0.366736s
547/6090, t=0.366769s
548/6090, t=0.366803s
549/6090, t=0.366836s
550/6090, t=0.366869s
551/6090, t=0.366903s
552/6090, t=0.366936s
553/6090, t=0.366969s
554/6090, t=0.367003s
555/6090, t=0.367036s
556/6090, t=0.367069s
557/6090, t=0.367103s
558/6090, t=0.367136s
559/6090, t=0.367169s
560/6090, t=0.367203s
561/6090, t=0.367236s
562/6090, t=0.367269s
563/6090, t=0.367303s
564/6090, t=0.367336s
565/6090, t=0.367369s
566/6090, t=0.367403s
567/6090, t=0.367436s
568/6090, t=0.367469s
569/6090, t=0.367503s
570/6090, t=0.367536s
571/6090, t=0.367569s
572/6090, t=0.367603s
573/6090, t=0.367636s
574/6090, t=0.367669s
575/6090, t=0.367703s
576/6090, t=0.367736s
577/6090, t=0.367769s
578/6090, t=0.367803s
579/6090, t=0.367836s
580/6090, t=0.367869s
581/6090, t=0.367903s
582/6090, t=0.367936s
583/6090, t=0.367969s
584/6090, t=0.368003s
585/6090, t=0.368036s
586/6090, t=0.368069s
587/6090, t=0.368103s
588/6090, t=0.368136s
589/6090, t=0.368169s
590/6090, t=0.368203s
591/6090, t=0.368236s
592/6090, t=0.368269s
593/6090, t=0.368303s
594/6090, t=0.368336s
595/6090, t=0.368369s
596/6090, t=0.368403s
597/6090, t=0.368436s
598/6090, t=0.368469s
599/6090, t=0.368503s
600/6090, t=0.368536s
601/6090, t=0.368569s
602/6090, t=0.368603s
603/6090, t=0.368636s
604/6090, t=0.368669s
605/6090, t=0.368703s
606/6090, t=0.368736s
607/6090, t=0.368769s
608/6090, t=0.368803s
609/6090, t=0.368836s
610/6090, t=0.368869s
611/6090, t=0.368903s
612/6090, t=0.368936s
613/6090, t=0.368969s
614/6090, t=0.369003s
615/6090, t=0.369036s
616/6090, t=0.369069s
617/6090, t=0.369103s
618/6090, t=0.369136s
619/6090, t=0.369169s
620/6090, t=0.369203s
621/6090, t=0.369236s
622/6090, t=0.369269s
623/6090, t=0.369303s
624/6090, t=0.369336s
625/6090, t=0.369369s
626/6090, t=0.369403s
627/6090, t=0.369436s
628/6090, t=0.369469s
629/6090, t=0.369503s
630/6090, t=0.369536s
631/6090, t=0.369569s
632/6090, t=0.369603s
633/6090, t=0.369636s
634/6090, t=0.369669s
635/6090, t=0.369703s
636/6090, t=0.369736s
637/6090, t=0.369769s
638/6090, t=0.369803s
639/6090, t=0.369836s
640/6090, t=0.369869s
641/6090, t=0.369903s
642/6090, t=0.369936s
643/6090, t=0.369969s
644/6090, t=0.370003s
645/6090, t=0.370036s
646/6090, t=0.370069s
647/6090, t=0.370103s
648/6090, t=0.370136s
649/6090, t=0.370169s
650/6090, t=0.370203s
651/6090, t=0.370236s
652/6090, t=0.370269s
653/6090, t=0.370303s
654/6090, t=0.370336s
655/6090, t=0.370369s
656/6090, t=0.370403s
657/6090, t=0.370436s
658/6090, t=0.370469s
659/6090, t=0.370503s
660/6090, t=0.370536s
661/6090, t=0.370569s
662/6090, t=0.370603s
663/6090, t=0.370636s
664/6090, t=0.370669s
665/6090, t=0.370703s
666/6090, t=0.370736s
667/6090, t=0.370769s
668/6090, t=0.370803s
669/6090, t=0.370836s
670/6090, t=0.370869s
671/6090, t=0.370903s
672/6090, t=0.370936s
673/6090, t=0.370969s
674/6090, t=0.371003s
675/6090, t=0.371036s
676/6090, t=0.371069s
677/6090, t=0.371103s
678/6090, t=0.371136s
679/6090, t=0.371169s
680/6090, t=0.371203s
681/6090, t=0.371236s
682/6090, t=0.371269s
683/6090, t=0.371303s
684/6090, t=0.371336s
685/6090, t=0.371369s
686/6090, t=0.371403s
687/6090, t=0.371436s
688/6090, t=0.371469s
689/6090, t=0.371503s
690/6090, t=0.371536s
691/6090, t=0.371569s
692/6090, t=0.371603s
693/6090, t=0.371636s
694/6090, t=0.371669s
695/6090, t=0.371703s
696/6090, t=0.371736s
697/6090, t=0.371769s
698/6090, t=0.371803s
699/6090, t=0.371836s
700/6090, t=0.371869s
701/6090, t=0.371903s
702/6090, t=0.371936s
703/6090, t=0.371969s
704/6090, t=0.372003s
705/6090, t=0.372036s
706/6090, t=0.372069s
707/6090, t=0.372103s
708/6090, t=0.372136s
709/6090, t=0.372169s
710/6090, t=0.372203s
711/6090, t=0.372236s
712/6090, t=0.372269s
713/6090, t=0.372303s
714/6090, t=0.372336s
715/6090, t=0.372369s
716/6090, t=0.372403s
717/6090, t=0.372436s
718/6090, t=0.372469s
719/6090, t=0.372503s
720/6090, t=0.372536s
721/6090, t=0.372569s
722/6090, t=0.372603s
723/6090, t=0.372636s
724/6090, t=0.372669s
725/6090, t=0.372703s
726/6090, t=0.372736s
727/6090, t=0.372769s
728/6090, t=0.372803s
729/6090, t=0.372836s
730/6090, t=0.372869s
731/6090, t=0.372903s
732/6090, t=0.372936s
733/6090, t=0.372969s
734/6090, t=0.373003s
735/6090, t=0.373036s
736/6090, t=0.373069s
737/6090, t=0.373103s
738/6090, t=0.373136s
739/6090, t=0.373169s
740/6090, t=0.373203s
741/6090, t=0.373236s
742/6090, t=0.373269s
743/6090, t=0.373303s
744/6090, t=0.373336s
745/6090, t=0.373369s
746/6090, t=0.373403s
747/6090, t=0.373436s
748/6090, t=0.373469s
749/6090, t=0.373503s
750/6090, t=0.373536s
751/6090, t=0.373569s
752/6090, t=0.373603s
753/6090, t=0.373636s
754/6090, t=0.373669s
755/6090, t=0.373703s
756/6090, t=0.373736s
757/6090, t=0.373769s
758/6090, t=0.373803s
759/6090, t=0.373836s
760/6090, t=0.373869s
761/6090, t=0.373903s
762/6090, t=0.373936s
763/6090, t=0.373969s
764/6090, t=0.374003s
765/6090, t=0.374036s
766/6090, t=0.374069s
767/6090, t=0.374103s
768/6090, t=0.374136s
769/6090, t=0.374169s
770/6090, t=0.374203s
771/6090, t=0.374236s
772/6090, t=0.374269s
773/6090, t=0.374303s
774/6090, t=0.374336s
775/6090, t=0.374369s
776/6090, t=0.374403s
777/6090, t=0.374436s
778/6090, t=0.374469s
779/6090, t=0.374503s
780/6090, t=0.374536s
781/6090, t=0.374569s
782/6090, t=0.374603s
783/6090, t=0.374636s
784/6090, t=0.374669s
785/6090, t=0.374703s
786/6090, t=0.374736s
787/6090, t=0.374769s
788/6090, t=0.374803s
789/6090, t=0.374836s
790/6090, t=0.374869s
791/6090, t=0.374903s
792/6090, t=0.374936s
793/6090, t=0.374969s
794/6090, t=0.375003s
795/6090, t=0.375036s
796/6090, t=0.375069s
797/6090, t=0.375103s
798/6090, t=0.375136s
799/6090, t=0.375169s
800/6090, t=0.375203s
801/6090, t=0.375236s
802/6090, t=0.375269s
803/6090, t=0.375303s
804/6090, t=0.375336s
805/6090, t=0.375369s
806/6090, t=0.375403s
807/6090, t=0.375436s
808/6090, t=0.375469s
809/6090, t=0.375503s
810/6090, t=0.375536s
811/6090, t=0.375569s
812/6090, t=0.375603s
813/6090, t=0.375636s
814/6090, t=0.375669s
815/6090, t=0.375703s
816/6090, t=0.375736s
817/6090, t=0.375769s
818/6090, t=0.375803s
819/6090, t=0.375836s
820/6090, t=0.375869s
821/6090, t=0.375903s
822/6090, t=0.375936s
823/6090, t=0.375969s
824/6090, t=0.376003s
825/6090, t=0.376036s
826/6090, t=0.376069s
827/6090, t=0.376103s
828/6090, t=0.376136s
829/6090, t=0.376169s
830/6090, t=0.376203s
831/6090, t=0.376236s
832/6090, t=0.376269s
833/6090, t=0.376303s
834/6090, t=0.376336s
835/6090, t=0.376369s
836/6090, t=0.376403s
837/6090, t=0.376436s
838/6090, t=0.376469s
839/6090, t=0.376503s
840/6090, t=0.376536s
841/6090, t=0.376569s
842/6090, t=0.376603s
843/6090, t=0.376636s
844/6090, t=0.376669s
845/6090, t=0.376703s
846/6090, t=0.376736s
847/6090, t=0.376769s
848/6090, t=0.376803s
849/6090, t=0.376836s
850/6090, t=0.376869s
851/6090, t=0.376903s
852/6090, t=0.376936s
853/6090, t=0.376969s
854/6090, t=0.377003s
855/6090, t=0.377036s
856/6090, t=0.377069s
857/6090, t=0.377103s
858/6090, t=0.377136s
859/6090, t=0.377169s
860/6090, t=0.377203s
861/6090, t=0.377236s
862/6090, t=0.377269s
863/6090, t=0.377303s
864/6090, t=0.377336s
865/6090, t=0.377369s
866/6090, t=0.377403s
867/6090, t=0.377436s
868/6090, t=0.377469s
869/6090, t=0.377503s
870/6090, t=0.377536s
871/6090, t=0.377569s
872/6090, t=0.377603s
873/6090, t=0.377636s
874/6090, t=0.377669s
875/6090, t=0.377703s
876/6090, t=0.377736s
877/6090, t=0.377769s
878/6090, t=0.377803s
879/6090, t=0.377836s
880/6090, t=0.377869s
881/6090, t=0.377903s
882/6090, t=0.377936s
883/6090, t=0.377969s
884/6090, t=0.378003s
885/6090, t=0.378036s
886/6090, t=0.378069s
887/6090, t=0.378103s
888/6090, t=0.378136s
889/6090, t=0.378169s
890/6090, t=0.378203s
891/6090, t=0.378236s
892/6090, t=0.378269s
893/6090, t=0.378303s
894/6090, t=0.378336s
895/6090, t=0.378369s
896/6090, t=0.378403s
897/6090, t=0.378436s
898/6090, t=0.378469s
899/6090, t=0.378503s
900/6090, t=0.378536s
901/6090, t=0.378569s
902/6090, t=0.378603s
903/6090, t=0.378636s
904/6090, t=0.378669s
905/6090, t=0.378703s
906/6090, t=0.378736s
907/6090, t=0.378769s
908/6090, t=0.378803s
909/6090, t=0.378836s
910/6090, t=0.378869s
911/6090, t=0.378903s
912/6090, t=0.378936s
913/6090, t=0.378969s
914/6090, t=0.379003s
915/6090, t=0.379036s
916/6090, t=0.379069s
917/6090, t=0.379103s
918/6090, t=0.379136s
919/6090, t=0.379169s
920/6090, t=0.379203s
921/6090, t=0.379236s
922/6090, t=0.379269s
923/6090, t=0.379303s
924/6090, t=0.379336s
925/6090, t=0.379369s
926/6090, t=0.379403s
927/6090, t=0.379436s
928/6090, t=0.379469s
929/6090, t=0.379503s
930/6090, t=0.379536s
931/6090, t=0.379569s
932/6090, t=0.379603s
933/6090, t=0.379636s
934/6090, t=0.379669s
935/6090, t=0.379703s
936/6090, t=0.379736s
937/6090, t=0.379769s
938/6090, t=0.379803s
939/6090, t=0.379836s
940/6090, t=0.379869s
941/6090, t=0.379903s
942/6090, t=0.379936s
943/6090, t=0.379969s
944/6090, t=0.380003s
945/6090, t=0.380036s
946/6090, t=0.380069s
947/6090, t=0.380103s
948/6090, t=0.380136s
949/6090, t=0.380169s
950/6090, t=0.380203s
951/6090, t=0.380236s
952/6090, t=0.380269s
953/6090, t=0.380303s
954/6090, t=0.380336s
955/6090, t=0.380369s
956/6090, t=0.380403s
957/6090, t=0.380436s
958/6090, t=0.380469s
959/6090, t=0.380503s
960/6090, t=0.380536s
961/6090, t=0.380569s
962/6090, t=0.380603s
963/6090, t=0.380636s
964/6090, t=0.380669s
965/6090, t=0.380703s
966/6090, t=0.380736s
967/6090, t=0.380769s
968/6090, t=0.380803s
969/6090, t=0.380836s
970/6090, t=0.380869s
971/6090, t=0.380903s
972/6090, t=0.380936s
973/6090, t=0.380969s
974/6090, t=0.381003s
975/6090, t=0.381036s
976/6090, t=0.381069s
977/6090, t=0.381103s
978/6090, t=0.381136s
979/6090, t=0.381169s
980/6090, t=0.381203s
981/6090, t=0.381236s
982/6090, t=0.381269s
983/6090, t=0.381303s
984/6090, t=0.381336s
985/6090, t=0.381369s
986/6090, t=0.381403s
987/6090, t=0.381436s
988/6090, t=0.381469s
989/6090, t=0.381503s
990/6090, t=0.381536s
991/6090, t=0.381569s
992/6090, t=0.381603s
993/6090, t=0.381636s
994/6090, t=0.381669s
995/6090, t=0.381703s
996/6090, t=0.381736s
997/6090, t=0.381769s
998/6090, t=0.381803s
999/6090, t=0.381836s
1000/6090, t=0.381869s
1001/6090, t=0.381903s
1002/6090, t=0.381936s
1003/6090, t=0.381969s
1004/6090, t=0.382003s
1005/6090, t=0.382036s
1006/6090, t=0.382069s
1007/6090, t=0.382103s
1008/6090, t=0.382136s
1009/6090, t=0.382169s
1010/6090, t=0.382203s
1011/6090, t=0.382236s
1012/6090, t=0.382269s
1013/6090, t=0.382303s
1014/6090, t=0.382336s
1015/6090, t=0.382369s
1016/6090, t=0.382403s
1017/6090, t=0.382436s
1018/6090, t=0.382469s
1019/6090, t=0.382503s
1020/6090, t=0.382536s
1021/6090, t=0.382569s
1022/6090, t=0.382603s
1023/6090, t=0.382636s
1024/6090, t=0.382669s
1025/6090, t=0.382703s
1026/6090, t=0.382736s
1027/6090, t=0.382769s
1028/6090, t=0.382803s
1029/6090, t=0.382836s
1030/6090, t=0.382869s
1031/6090, t=0.382903s
1032/6090, t=0.382936s
1033/6090, t=0.382969s
1034/6090, t=0.383003s
1035/6090, t=0.383036s
1036/6090, t=0.383069s
1037/6090, t=0.383103s
1038/6090, t=0.383136s
1039/6090, t=0.383169s
1040/6090, t=0.383203s
1041/6090, t=0.383236s
1042/6090, t=0.383269s
1043/6090, t=0.383303s
1044/6090, t=0.383336s
1045/6090, t=0.383369s
1046/6090, t=0.383403s
1047/6090, t=0.383436s
1048/6090, t=0.383469s
1049/6090, t=0.383503s
1050/6090, t=0.383536s
1051/6090, t=0.383569s
1052/6090, t=0.383603s
1053/6090, t=0.383636s
1054/6090, t=0.383669s
1055/6090, t=0.383703s
1056/6090, t=0.383736s
1057/6090, t=0.383769s
1058/6090, t=0.383803s
1059/6090, t=0.383836s
1060/6090, t=0.383869s
1061/6090, t=0.383903s
1062/6090, t=0.383936s
1063/6090, t=0.383969s
1064/6090, t=0.384003s
1065/6090, t=0.384036s
1066/6090, t=0.384069s
1067/6090, t=0.384103s
1068/6090, t=0.384136s
1069/6090, t=0.384169s
