0/6090, t=0.200036s
1/6090, t=0.203369s
2/6090, t=0.206703s
3/6090, t=0.210036s
4/6090, t=0.213369s
5/6090, t=0.216703s
6/6090, t=0.220036s
7/6090, t=0.223369s
8/6090, t=0.226703s
9/6090, t=0.230036s
10/6090, t=0.233369s
11/6090, t=0.236703s
12/6090, t=0.240036s
13/6090, t=0.243369s
14/6090, t=0.246703s
15/6090, t=0.250036s
16/6090, t=0.253369s
17/6090, t=0.256703s
18/6090, t=0.260036s
19/6090, t=0.263369s
20/6090, t=0.266703s
21/6090, t=0.270036s
22/6090, t=0.273369s
23/6090, t=0.276703s
24/6090, t=0.280036s
25/6090, t=0.283369s
26/6090, t=0.286703s
27/6090, t=0.290036s
28/6090, t=0.293369s
29/6090, t=0.296703s
30/6090, t=0.300036s
31/6090, t=0.303369s
32/6090, t=0.306703s
33/6090, t=0.310036s
34/6090, t=0.313369s
35/6090, t=0.316703s
36/6090, t=0.320036s
37/6090, t=0.323369s
38/6090, t=0.326703s
39/6090, t=0.330036s
40/6090, t=0.333369s
41/6090, t=0.336703s
42/6090, t=0.340036s
43/6090, t=0.343369s
44/6090, t=0.346703s
45/6090, t=0.350036s
46/6090, t=0.350069s
47/6090, t=0.350103s
48/6090, t=0.350136s
49/6090, t=0.350169s
50/6090, t=0.350203s
51/6090, t=0.350236s
52/6090, t=0.350269s
53/6090, t=0.350303s
54/6090, t=0.350336s
55/6090, t=0.350369s
56/6090, t=0.350403s
57/6090, t=0.350436s
58/6090, t=0.350469s
59/6090, t=0.350503s
60/6090, t=0.350536s
61/6090, t=0.350569s
62/6090, t=0.350603s
63/6090, t=0.350636s
64/6090, t=0.350669s
65/6090, t=0.350703s
66/6090, t=0.350736s
67/6090, t=0.350769s
68/6090, t=0.350803s
69/6090, t=0.350836s
70/6090, t=0.350869s
71/6090, t=0.350903s
72/6090, t=0.350936s
73/6090, t=0.350969s
74/6090, t=0.351003s
75/6090, t=0.351036s
76/6090, t=0.351069s
77/6090, t=0.351103s
78/6090, t=0.351136s
79/6090, t=0.351169s
80/6090, t=0.351203s
81/6090, t=0.351236s
82/6090, t=0.351269s
83/6090, t=0.351303s
84/6090, t=0.351336s
85/6090, t=0.351369s
86/6090, t=0.351403s
87/6090, t=0.351436s
88/6090, t=0.351469s
89/6090, t=0.351503s
90/6090, t=0.351536s
91/6090, t=0.351569s
92/6090, t=0.351603s
93/6090, t=0.351636s
94/6090, t=0.351669s
95/6090, t=0.351703s
96/6090, t=0.351736s
97/6090, t=0.351769s
98/6090, t=0.351803s
99/6090, t=0.351836s
100/6090, t=0.351869s
101/6090, t=0.351903s
102/6090, t=0.351936s
103/6090, t=0.351969s
104/6090, t=0.352003s
105/6090, t=0.352036s
106/6090, t=0.352069s
107/6090, t=0.352103s
108/6090, t=0.352136s
109/6090, t=0.352169s
110/6090, t=0.352203s
111/6090, t=0.352236s
112/6090, t=0.352269s
113/6090, t=0.352303s
114/6090, t=0.352336s
115/6090, t=0.352369s
116/6090, t=0.352403s
117/6090, t=0.352436s
118/6090, t=0.352469s
119/6090, t=0.352503s
120/6090, t=0.352536s
121/6090, t=0.352569s
122/6090, t=0.352603s
123/6090, t=0.352636s
124/6090, t=0.352669s
125/6090, t=0.352703s
126/6090, t=0.352736s
127/6090, t=0.352769s
128/6090, t=0.352803s
129/6090, t=0.352836s
130/6090, t=0.352869s
131/6090, t=0.352903s
132/6090, t=0.352936s
133/6090, t=0.352969s
134/6090, t=0.353003s
135/6090, t=0.353036s
136/6090, t=0.353069s
137/6090, t=0.353103s
138/6090, t=0.353136s
139/6090, t=0.353169s
140/6090, t=0.353203s
141/6090, t=0.353236s
142/6090, t=0.353269s
143/6090, t=0.353303s
144/6090, t=0.353336s
145/6090, t=0.353369s
146/6090, t=0.353403s
147/6090, t=0.353436s
148/6090, t=0.353469s
149/6090, t=0.353503s
150/6090, t=0.353536s
151/6090, t=0.353569s
152/6090, t=0.353603s
153/6090, t=0.353636s
154/6090, t=0.353669s
155/6090, t=0.353703s
156/6090, t=0.353736s
157/6090, t=0.353769s
158/6090, t=0.353803s
159/6090, t=0.353836s
160/6090, t=0.353869s
161/6090, t=0.353903s
162/6090, t=0.353936s
163/6090, t=0.353969s
164/6090, t=0.354003s
165/6090, t=0.354036s
166/6090, t=0.354069s
167/6090, t=0.354103s
168/6090, t=0.354136s
169/6090, t=0.354169s
170/6090, t=0.354203s
171/6090, t=0.354236s
172/6090, t=0.354269s
173/6090, t=0.354303s
174/6090, t=0.354336s
175/6090, t=0.354369s
176/6090, t=0.354403s
177/6090, t=0.354436s
178/6090, t=0.354469s
179/6090, t=0.354503s
180/6090, t=0.354536s
181/6090, t=0.354569s
182/6090, t=0.354603s
183/6090, t=0.354636s
184/6090, t=0.354669s
185/6090, t=0.354703s
186/6090, t=0.354736s
187/6090, t=0.354769s
188/6090, t=0.354803s
189/6090, t=0.354836s
190/6090, t=0.354869s
191/6090, t=0.354903s
192/6090, t=0.354936s
193/6090, t=0.354969s
194/6090, t=0.355003s
195/6090, t=0.355036s
196/6090, t=0.355069s
197/6090, t=0.355103s
198/6090, t=0.355136s
199/6090, t=0.355169s
200/6090, t=0.355203s
201/6090, t=0.355236s
202/6090, t=0.355269s
203/6090, t=0.355303s
204/6090, t=0.355336s
205/6090, t=0.355369s
206/6090, t=0.355403s
207/6090, t=0.355436s
208/6090, t=0.355469s
209/6090, t=0.355503s
210/6090, t=0.355536s
211/6090, t=0.355569s
212/6090, t=0.355603s
213/6090, t=0.355636s
